model,year,transmission,mileage,fuelType,tax,mpg,engineSize,brand,price
Kona,2019,Manual,2291,Petrol,145,44.1,1,Hyundai,14995
Kona,2019,Manual,2383,Petrol,145,44.1,1,Hyundai,14998
Kona,2019,Manual,2499,Petrol,145,44.1,1,Hyundai,14497
Kona,2019,Manual,2642,Petrol,145,44.1,1,Hyundai,14245
Kona,2019,Manual,2658,Petrol,145,44.1,1,Hyundai,15995
Kona,2019,Manual,2779,Petrol,145,44.1,1,Hyundai,14195
Kona,2019,Manual,3475,Petrol,145,44.1,1,Hyundai,14995
Kona,2019,Manual,3624,Petrol,145,44.1,1,Hyundai,17622
Kona,2019,Manual,3702,Petrol,145,44.1,1,Hyundai,14770
Kona,2019,Manual,3752,Petrol,145,44.1,1,Hyundai,15298
Kona,2019,Manual,3933,Petrol,145,44.1,1,Hyundai,15500
Kona,2019,Manual,4000,Petrol,145,44.1,1,Hyundai,14495
Kona,2019,Manual,4131,Petrol,145,44.1,1,Hyundai,14490
Kona,2019,Manual,4180,Petrol,145,44.1,1,Hyundai,15990
Kona,2019,Manual,4346,Petrol,145,44.1,1,Hyundai,15490
Kona,2019,Manual,4396,Petrol,145,44.1,1,Hyundai,13998
Kona,2019,Manual,4459,Petrol,145,44.1,1,Hyundai,16495
Kona,2019,Manual,4672,Petrol,150,44.1,1,Hyundai,17495
Kona,2019,Manual,4861,Petrol,145,44.1,1,Hyundai,13695
Kona,2019,Manual,4989,Petrol,145,44.1,1,Hyundai,13695
Kona,2019,Manual,4989,Petrol,145,44.1,1,Hyundai,14897
Kona,2019,Manual,5000,Petrol,145,44.1,1,Hyundai,14399
Kona,2019,Manual,5000,Petrol,145,44.1,1,Hyundai,15795
Kona,2019,Manual,5000,Petrol,145,44.1,1,Hyundai,15995
Kona,2019,Manual,5034,Petrol,145,44.1,1,Hyundai,14298
Kona,2019,Manual,5053,Petrol,145,44.1,1,Hyundai,17295
Kona,2019,Manual,5200,Petrol,145,44.1,1,Hyundai,15995
Kona,2019,Manual,5386,Petrol,145,44.1,1,Hyundai,17650
Kona,2019,Manual,5630,Petrol,145,44.1,1,Hyundai,15498
Kona,2019,Manual,5986,Petrol,145,44.1,1,Hyundai,15295
Kona,2019,Manual,6250,Petrol,145,44.1,1,Hyundai,16995
Kona,2019,Manual,6280,Petrol,145,44.1,1,Hyundai,14195
Kona,2019,Manual,6380,Petrol,145,44.1,1,Hyundai,15695
Kona,2019,Manual,6483,Petrol,145,44.1,1,Hyundai,15950
Kona,2019,Manual,6717,Petrol,150,44.1,1,Hyundai,14998
Kona,2019,Manual,6811,Petrol,150,44.1,1,Hyundai,14974
Kona,2019,Manual,6874,Petrol,145,44.1,1,Hyundai,14298
Kona,2019,Manual,6964,Petrol,150,44.1,1,Hyundai,13480
Kona,2019,Manual,7178,Petrol,145,44.1,1,Hyundai,13970
Kona,2019,Manual,7540,Petrol,145,44.1,1,Hyundai,18995
Kona,2019,Manual,7842,Petrol,145,44.1,1,Hyundai,15990
Kona,2019,Manual,7896,Petrol,145,44.1,1,Hyundai,14985
Kona,2019,Manual,7925,Petrol,145,44.1,1,Hyundai,13799
Kona,2019,Manual,8155,Petrol,145,44.1,1,Hyundai,13799
Kona,2019,Manual,8550,Petrol,145,44.1,1,Hyundai,14680
Kona,2019,Manual,8777,Petrol,145,44.1,1,Hyundai,13998
Kona,2019,Manual,9000,Petrol,145,44.1,1,Hyundai,15995
Kona,2019,Manual,9130,Petrol,145,44.1,1,Hyundai,13990
Kona,2019,Manual,9187,Petrol,145,44.1,1,Hyundai,15390
Kona,2019,Manual,9283,Petrol,150,44.1,1,Hyundai,13491
Kona,2019,Manual,9401,Petrol,145,44.1,1,Hyundai,14495
Kona,2019,Manual,9567,Petrol,145,44.1,1,Hyundai,15995
Kona,2019,Manual,9829,Petrol,145,44.1,1,Hyundai,14298
Kona,2019,Manual,9893,Petrol,145,44.1,1,Hyundai,14450
Kona,2019,Manual,9946,Petrol,145,44.1,1,Hyundai,13499
Kona,2019,Manual,10384,Petrol,145,44.1,1,Hyundai,13849
Kona,2019,Manual,10757,Petrol,145,44.1,1,Hyundai,14298
Kona,2019,Manual,10961,Petrol,145,44.1,1,Hyundai,13995
Kona,2019,Manual,11088,Petrol,150,44.1,1,Hyundai,15292
Kona,2019,Manual,11345,Petrol,145,44.1,1,Hyundai,15795
Kona,2019,Manual,11372,Petrol,145,44.1,1,Hyundai,14985
Kona,2019,Manual,11478,Petrol,145,44.1,1,Hyundai,13920
Kona,2019,Manual,11488,Petrol,145,44.1,1,Hyundai,15539
Kona,2019,Manual,12211,Petrol,145,44.1,1,Hyundai,14969
Kona,2019,Manual,12273,Petrol,145,44.1,1,Hyundai,13599
Kona,2019,Manual,12273,Petrol,145,44.1,1,Hyundai,13899
Kona,2019,Manual,12560,Petrol,145,44.1,1,Hyundai,14995
Kona,2019,Manual,12677,Petrol,145,44.1,1,Hyundai,15795
Kona,2019,Manual,13145,Petrol,145,44.1,1,Hyundai,14998
Kona,2019,Manual,13192,Petrol,150,44.1,1,Hyundai,13995
Kona,2019,Manual,13230,Petrol,145,44.1,1,Hyundai,14750
Kona,2019,Manual,13240,Petrol,145,44.1,1,Hyundai,14995
Kona,2019,Manual,14000,Petrol,145,44.1,1,Hyundai,14495
Kona,2019,Manual,14098,Petrol,145,44.1,1,Hyundai,14750
Kona,2019,Manual,14398,Petrol,145,44.1,1,Hyundai,15295
Kona,2019,Manual,14587,Petrol,145,44.1,1,Hyundai,15000
Kona,2019,Manual,14587,Petrol,145,44.1,1,Hyundai,15000
Kona,2019,Manual,14880,Petrol,145,44.1,1,Hyundai,14995
Kona,2019,Manual,15113,Petrol,145,44.1,1,Hyundai,14785
Kona,2019,Manual,15139,Petrol,150,44.1,1,Hyundai,14600
Kona,2019,Manual,15139,Petrol,145,44.1,1,Hyundai,15650
Kona,2019,Manual,15391,Petrol,145,44.1,1,Hyundai,14290
Kona,2019,Manual,15507,Petrol,150,44.1,1,Hyundai,13995
Kona,2019,Manual,15575,Petrol,145,44.1,1,Hyundai,13591
Kona,2019,Manual,15927,Petrol,145,44.1,1,Hyundai,13990
Kona,2019,Manual,16261,Petrol,145,44.1,1,Hyundai,13650
Kona,2019,Manual,16331,Petrol,145,44.1,1,Hyundai,16495
Kona,2019,Manual,16490,Petrol,145,44.1,1,Hyundai,13500
Kona,2019,Manual,16555,Petrol,145,44.1,1,Hyundai,15495
Kona,2019,Manual,17715,Petrol,145,44.1,1,Hyundai,14995
Kona,2019,Manual,17815,Petrol,145,44.1,1,Hyundai,13485
Kona,2019,Manual,17868,Petrol,145,44.1,1,Hyundai,14985
Kona,2019,Manual,17976,Petrol,145,44.1,1,Hyundai,14485
Kona,2019,Manual,20189,Petrol,150,44.1,1,Hyundai,14470
Kona,2019,Manual,20490,Petrol,150,44.1,1,Hyundai,14470
Kona,2020,Manual,1,Petrol,145,44.1,1,Hyundai,21320
Kona,2020,Manual,984,Petrol,145,44.1,1,Hyundai,19290
Kona,2020,Manual,1000,Petrol,145,44.1,1,Hyundai,20970
Kona,2020,Manual,2622,Petrol,145,44.1,1,Hyundai,16991
Kona,2020,Manual,3500,Petrol,150,44.1,1,Hyundai,14990
Kona,2020,Manual,6000,Petrol,150,44.1,1,Hyundai,15499
A3,2019,Semi-Auto,5800,Petrol,145,44.8,1,Audi,18999
A3,2019,Semi-Auto,9758,Petrol,150,44.8,1,Audi,19998
I30,2019,Manual,1232,Petrol,145,44.8,1,Hyundai,14298
I30,2019,Manual,2202,Petrol,145,44.8,1,Hyundai,15995
I30,2019,Manual,2640,Petrol,145,44.8,1,Hyundai,15995
I30,2019,Manual,3154,Petrol,145,44.8,1,Hyundai,15495
I30,2019,Manual,5321,Petrol,145,44.8,1,Hyundai,16495
I30,2019,Manual,6175,Petrol,145,44.8,1,Hyundai,13990
I30,2019,Manual,6416,Petrol,145,44.8,1,Hyundai,14030
I30,2019,Manual,8295,Petrol,145,44.8,1,Hyundai,13970
I30,2019,Manual,10100,Petrol,145,44.8,1,Hyundai,13730
I30,2019,Manual,10661,Petrol,145,44.8,1,Hyundai,13910
I30,2019,Manual,12972,Petrol,145,44.8,1,Hyundai,13600
I30,2020,Manual,37,Petrol,145,44.8,1,Hyundai,19995
I30,2020,Manual,3363,Petrol,145,44.8,1,Hyundai,15495
A1,2019,Semi-Auto,1799,Petrol,145,44.8,1,Audi,26500
A1,2019,Semi-Auto,5432,Petrol,145,44.8,1,Audi,23444
A1,2019,Semi-Auto,6000,Petrol,145,44.8,1,Audi,22059
A1,2020,Automatic,7,Petrol,145,44.8,1,Audi,21400
A1,2020,Semi-Auto,1500,Petrol,145,44.8,1,Audi,21495
A1,2020,Semi-Auto,1694,Petrol,145,44.8,1,Audi,22990
A1,2020,Semi-Auto,1870,Petrol,145,44.8,1,Audi,24450
A1,2020,Semi-Auto,2000,Petrol,150,44.8,1,Audi,22500
A1,2020,Semi-Auto,2999,Petrol,145,44.8,1,Audi,22000
A1,2020,Semi-Auto,3000,Petrol,145,44.8,1,Audi,21746
A1,2020,Semi-Auto,3000,Petrol,145,44.8,1,Audi,23000
A1,2020,Semi-Auto,3000,Petrol,145,44.8,1,Audi,23250
A1,2020,Semi-Auto,3000,Petrol,145,44.8,1,Audi,23250
A1,2020,Semi-Auto,3015,Petrol,150,44.8,1,Audi,22970
A1,2020,Semi-Auto,5000,Petrol,145,44.8,1,Audi,23845
A1,2020,Semi-Auto,5000,Petrol,150,44.8,1,Audi,23845
Kona,2019,Manual,10338,Petrol,145,44.8,1,Hyundai,12299
Kona,2020,Manual,1458,Petrol,150,44.8,1,Hyundai,14490
A3,2019,Automatic,8274,Petrol,145,45.6,1,Audi,19888
I30,2018,Manual,3789,Petrol,150,45.6,1,Hyundai,12891
I30,2018,Manual,6526,Petrol,150,45.6,1,Hyundai,12991
I30,2018,Manual,8469,Petrol,145,45.6,1,Hyundai,11295
I30,2018,Manual,8676,Petrol,145,45.6,1,Hyundai,12549
I30,2018,Manual,11156,Petrol,150,45.6,1,Hyundai,11495
I30,2018,Manual,12453,Petrol,150,45.6,1,Hyundai,12371
I30,2018,Manual,17800,Petrol,150,45.6,1,Hyundai,11000
I30,2019,Manual,988,Petrol,145,45.6,1,Hyundai,14990
I30,2019,Manual,1247,Petrol,145,45.6,1,Hyundai,14990
I30,2019,Manual,1771,Petrol,145,45.6,1,Hyundai,17990
I30,2019,Manual,2813,Petrol,145,45.6,1,Hyundai,13750
I30,2019,Manual,4000,Petrol,145,45.6,1,Hyundai,13990
I30,2019,Manual,5449,Petrol,150,45.6,1,Hyundai,13498
I30,2019,Manual,9000,Petrol,145,45.6,1,Hyundai,9950
I30,2019,Manual,11879,Petrol,145,45.6,1,Hyundai,13980
I30,2020,Manual,100,Petrol,145,45.6,1,Hyundai,15985
I30,2020,Manual,2936,Petrol,145,45.6,1,Hyundai,15495
I30,2020,Manual,4000,Petrol,145,45.6,1,Hyundai,15795
I10,2014,Automatic,8646,Petrol,160,45.6,1,Hyundai,7700
A1,2019,Semi-Auto,4300,Petrol,150,45.6,1,Audi,19995
A1,2019,Semi-Auto,5000,Petrol,145,45.6,1,Audi,20000
A1,2020,Semi-Auto,2000,Petrol,145,45.6,1,Audi,20990
Q2,2019,Manual,3486,Petrol,145,45.6,1,Audi,21756
Q2,2019,Manual,6500,Petrol,150,45.6,1,Audi,20950
Q2,2020,Manual,1500,Petrol,145,45.6,1,Audi,24888
Q2,2020,Manual,2999,Petrol,145,45.6,1,Audi,23000
Q2,2020,Manual,6000,Petrol,145,45.6,1,Audi,22669
A3,2018,Manual,14500,Petrol,145,46.3,1,Audi,21490
A3,2019,Manual,5000,Petrol,145,46.3,1,Audi,21750
I20,2019,Manual,2439,Petrol,145,46.3,1,Hyundai,14990
A1,2019,Automatic,4000,Petrol,145,46.3,1,Audi,18888
A1,2019,Automatic,4445,Petrol,145,46.3,1,Audi,18990
A3,2018,Manual,5864,Petrol,145,47.1,1,Audi,18995
A3,2018,Manual,7900,Petrol,145,47.1,1,Audi,19450
A3,2018,Manual,12795,Petrol,145,47.1,1,Audi,19995
A3,2019,Manual,3265,Petrol,145,47.1,1,Audi,19495
A3,2019,Manual,3302,Petrol,145,47.1,1,Audi,21000
A3,2019,Manual,3988,Petrol,145,47.1,1,Audi,20000
A3,2019,Manual,4000,Petrol,145,47.1,1,Audi,21450
A3,2019,Manual,4270,Petrol,145,47.1,1,Audi,19750
A3,2019,Manual,7030,Petrol,150,47.1,1,Audi,18000
A3,2019,Manual,9281,Petrol,145,47.1,1,Audi,20491
A3,2019,Manual,10065,Petrol,145,47.1,1,Audi,21656
A3,2019,Manual,17125,Petrol,145,47.1,1,Audi,21000
A1,2019,Semi-Auto,1234,Petrol,145,47.1,1,Audi,19990
A1,2019,Semi-Auto,1938,Petrol,145,47.1,1,Audi,22950
A1,2019,Automatic,2801,Petrol,145,47.1,1,Audi,20766
A1,2019,Semi-Auto,2942,Petrol,145,47.1,1,Audi,21714
A1,2019,Automatic,3221,Petrol,145,47.1,1,Audi,20726
A1,2019,Semi-Auto,3241,Petrol,150,47.1,1,Audi,22450
A1,2019,Semi-Auto,3464,Petrol,145,47.1,1,Audi,22400
A1,2019,Semi-Auto,3729,Petrol,145,47.1,1,Audi,22400
A1,2019,Automatic,3826,Petrol,145,47.1,1,Audi,19990
A1,2019,Automatic,4288,Petrol,145,47.1,1,Audi,21000
A1,2019,Automatic,4504,Petrol,145,47.1,1,Audi,20000
A1,2019,Automatic,4849,Petrol,145,47.1,1,Audi,21000
A1,2019,Semi-Auto,5004,Petrol,150,47.1,1,Audi,20990
A1,2019,Semi-Auto,5024,Petrol,145,47.1,1,Audi,21750
A1,2019,Automatic,5210,Petrol,150,47.1,1,Audi,21000
A1,2019,Semi-Auto,5676,Petrol,145,47.1,1,Audi,20500
A1,2019,Automatic,5756,Petrol,150,47.1,1,Audi,20930
A1,2019,Semi-Auto,6063,Petrol,150,47.1,1,Audi,22450
A1,2019,Automatic,6262,Petrol,145,47.1,1,Audi,19990
A1,2019,Automatic,6327,Petrol,145,47.1,1,Audi,19996
A1,2019,Semi-Auto,6661,Petrol,150,47.1,1,Audi,21780
A1,2019,Semi-Auto,6745,Petrol,145,47.1,1,Audi,22950
A1,2019,Automatic,7000,Petrol,145,47.1,1,Audi,20026
A1,2019,Semi-Auto,7650,Petrol,145,47.1,1,Audi,19750
A1,2019,Semi-Auto,8078,Petrol,145,47.1,1,Audi,22450
A1,2019,Semi-Auto,8253,Petrol,145,47.1,1,Audi,21300
A1,2019,Automatic,11200,Petrol,145,47.1,1,Audi,19990
A1,2019,Semi-Auto,11200,Petrol,145,47.1,1,Audi,19990
A1,2019,Automatic,11295,Petrol,150,47.1,1,Audi,20500
A1,2019,Semi-Auto,11310,Petrol,150,47.1,1,Audi,21490
Q2,2018,Manual,5652,Petrol,150,47.1,1,Audi,18490
Q2,2018,Manual,8026,Petrol,145,47.1,1,Audi,17950
Q2,2018,Manual,20313,Petrol,145,47.1,1,Audi,16990
Q2,2019,Manual,333,Petrol,145,47.1,1,Audi,20888
Q2,2019,Manual,804,Petrol,145,47.1,1,Audi,19250
Q2,2019,Manual,942,Petrol,145,47.1,1,Audi,19990
Q2,2019,Manual,1500,Petrol,145,47.1,1,Audi,19990
Q2,2019,Manual,2970,Petrol,145,47.1,1,Audi,20350
Q2,2019,Manual,3000,Petrol,145,47.1,1,Audi,20600
Q2,2019,Manual,3358,Petrol,145,47.1,1,Audi,19991
Q2,2019,Manual,3500,Petrol,145,47.1,1,Audi,20990
Q2,2019,Manual,3505,Petrol,145,47.1,1,Audi,21490
Q2,2019,Manual,3657,Petrol,150,47.1,1,Audi,18990
Q2,2019,Manual,4000,Petrol,145,47.1,1,Audi,19495
Q2,2019,Manual,4200,Petrol,145,47.1,1,Audi,18940
Q2,2019,Manual,4383,Petrol,145,47.1,1,Audi,19926
Q2,2019,Manual,4500,Petrol,145,47.1,1,Audi,19995
Q2,2019,Manual,4500,Petrol,145,47.1,1,Audi,22500
Q2,2019,Manual,4538,Petrol,145,47.1,1,Audi,19991
Q2,2019,Manual,4686,Petrol,145,47.1,1,Audi,18595
Q2,2019,Manual,4878,Petrol,145,47.1,1,Audi,19190
Q2,2019,Manual,4999,Petrol,145,47.1,1,Audi,20000
Q2,2019,Manual,5000,Petrol,145,47.1,1,Audi,20999
Q2,2019,Manual,6155,Petrol,145,47.1,1,Audi,19991
Q2,2019,Manual,6190,Petrol,145,47.1,1,Audi,19991
Q2,2019,Manual,6378,Petrol,145,47.1,1,Audi,18998
Q2,2019,Manual,6665,Petrol,145,47.1,1,Audi,19991
Q2,2019,Manual,6921,Petrol,145,47.1,1,Audi,22997
Q2,2019,Manual,16047,Petrol,145,47.1,1,Audi,17295
A3,2019,Manual,3856,Petrol,150,47.9,1,Audi,20500
A3,2019,Manual,4986,Petrol,145,47.9,1,Audi,20000
A3,2019,Manual,6455,Petrol,150,47.9,1,Audi,18500
A3,2020,Manual,6552,Petrol,150,47.9,1,Audi,21450
I20,2018,Manual,4856,Petrol,150,47.9,1,Hyundai,11390
I20,2018,Manual,5921,Petrol,145,47.9,1,Hyundai,11030
